telephone	name
87089861995	Messi
87781225771	Абдулла
87122717636	Aizhan
87311658415	Ainur
87109023609	Arsen
87573469055	Erasyl
87185487563	Aisholpan
87886172219	Aiyym
87955027054	Akbota
87728088878	Akmara
87287169829	Alisher
87198801673	Adi
87587104270	Amanzhol
87422845281	Amina
87411976084	Anar
87595182481	Kobeisin
87181617649	Anelia
87214976060	Ansar
87848683709	Aruzhan
87926194674	Asem
87234608357	Asylkhan
87054387337	Abylai
87309322472	Maksat
87598117582	Ahmet
87876353118	Sagingali
87812042743	Bauyrzhan
87899495256	Gulzhan
87714514199	Daniyar
87459272149	Dariaga
87648644916	Dias
